sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,lnlike,likelihood,prior_prob
8101,2.60513477727477,0,0.0698209837967369,0,0.0602390874637644,0,9,0.947733549739799,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2063.97804424201,-1392.51079774379,-671.467246498221
8201,2.64849720604839,0,0.0716529838918469,0,0.0617178948667201,0,9,0.964185718507472,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2054.72046095284,-1385.83418461221,-668.886276340637
8301,2.61453336902965,0,0.0679521875977819,0,0.0618497092416379,0,9,0.979376853336281,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2057.37435910934,-1384.59688675616,-672.777472353177
8401,2.63954715777723,0,0.0685247421135603,0,0.0610277742265235,0,9,0.967285745559847,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2055.42745075103,-1386.47403779709,-668.95341295394
8501,2.68322179065857,0,0.0683258897838071,0,0.0628522733943268,0,9,0.936476918028944,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2047.41230927927,-1381.0495936267,-666.362715652573
8601,2.83830523351984,0,0.060656147085911,0,0.0696506161868997,0,9,0.994427617882156,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2091.02534319654,-1399.48592077242,-691.539422424117
8701,2.69603476274686,0,0.0686151297808222,0,0.0633883357101753,0,9,0.924928455045108,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2041.71862367968,-1373.56934376694,-668.149279912742
8801,2.64012719380631,0,0.0681449506839952,0,0.0622812865411295,0,9,0.961518917851791,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2036.77346967882,-1374.46332850828,-662.310141170546
8901,2.67859069271282,0,0.0690419604074307,0,0.0621463250385539,0,9,1.00321884567603,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2041.13911907517,-1376.77614871196,-664.362970363205
9001,2.69233960412514,0,0.0649408811963122,0,0.0620912126896844,0,9,0.949627118871522,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2026.02874132697,-1369.56299150675,-656.465749820212
9101,2.70195995443847,0,0.0650480706612972,0,0.0631750724309896,0,9,0.944567812347493,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2021.42146685821,-1375.52115437269,-645.900312485518
9201,2.62337953677341,0,0.0609672525329305,0,0.0612758800091459,0,9,0.944100701109148,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2015.87898849078,-1377.08984235712,-638.789146133655
9301,2.63630197557084,0,0.0525595388563553,0,0.0626419278080544,0,9,0.95370444336806,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2020.01638896443,-1381.51299132491,-638.503397639526
9401,2.53772222419138,0,0.0559338097426084,0,0.0606119981355704,0,9,0.941419278800621,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2028.86375058781,-1377.7904328742,-651.073317713613
9501,2.60464767056062,0,0.0576688280708132,0,0.0621570570063614,0,9,0.917486789546848,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2030.01343456424,-1374.03657843182,-655.976856132412
9601,2.60464767056062,0,0.0597853438089311,0,0.0624295181419109,0,9,0.930065841404082,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2050.1867374246,-1377.77021222684,-672.416525197751
9701,2.59288347441973,0,0.0533595042767394,0,0.0630019803294388,0,9,0.974656325807642,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2040.45457584076,-1376.74798428806,-663.706591552701
9801,2.61983066821804,0,0.0557783842251073,0,0.063261722906919,0,9,1.00944677833091,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2050.44474261708,-1386.37765698963,-664.067085627454
